ID,PID,WAVE_w1,SURVEY1_w1,S_GENDER_w1,S_AGE_w1,S_AREA1_w1,par_age_1_w1,par_age_2_w1,par_edu_1_w1,par_edu_2_w1,par_job_a1_w1,par_job_b1_w1,par_nat_1_w1,par_nat_2_w1,family_a01_w1,household_w1,income_01_w1,income_02_w1,income_03_w1,par_foreigner_01_w1,fa_korean_ab_a01_w1,fa_korean_ab_a02_w1,fa_korean_ab_a03_w1,fa_korean_ab_a04_w1,mo_korean_ab_b01_w1,mo_korean_ab_b02_w1,mo_korean_ab_b03_w1,mo_korean_ab_b04_w1,communication_a01_w1,communication_b01_w1,korean_ab_a01_w1,korean_ab_a02_w1,korean_ab_a03_w1,korean_ab_a04_w1,fore_language_a01_w1,fore_language_b01_w1,fore_language_b02_w1,fore_language_b03_w1,fa_language_ab_a01_w1,fa_language_ab_a02_w1,fa_language_ab_a03_w1,fa_language_ab_a04_w1,mo_language_ab_b01_w1,mo_language_ab_b02_w1,mo_language_ab_b03_w1,mo_language_ab_b04_w1,national_awar_01_w1,visit_par_country_01_w1,visit_par_country_02_w1,visit_par_country_03_w1,visit_ko_country_01_w1,inter_par_country_01_w1,s_accul_str_01_w1,s_accul_str_02_w1,s_accul_str_03_w1,s_accul_str_04_w1,s_accul_str_05_w1,s_accul_str_06_w1,s_accul_str_07_w1,s_accul_str_08_w1,s_accul_str_09_w1,s_accul_str_10_w1,s_national_iden_01_w1,s_national_iden_02_w1,s_national_iden_03_w1,s_national_iden_04_w1,biticul_acc_01_w1,biticul_acc_02_w1,biticul_acc_03_w1,biticul_acc_04_w1,biticul_acc_05_w1,biticul_acc_06_w1,biticul_acc_07_w1,biticul_acc_08_w1,biticul_acc_09_w1,biticul_acc_10_w1,health_01_w1,body_satis01_w1,body_satis02_w1,body_satis03_w1,body_satis04_w1,body_satis05_w1,body_satis06_w1,s_esteem_a01_w1,s_esteem_a02_w1,s_esteem_a03_w1,s_esteem_a04_w1,s_resil_01_w1,s_resil_02_w1,s_resil_03_w1,s_resil_04_w1,s_resil_05_w1,s_resil_06_w1,s_resil_07_w1,s_resil_08_w1,s_resil_09_w1,s_resil_10_w1,s_resil_11_w1,s_resil_12_w1,s_resil_13_w1,s_resil_14_w1,life_satis_01_w1,life_satis_02_w1,life_satis_03_w1,score_01_w1,score_02_w1,score_03_w1,score_04_w1,score_05_w1,satis_score_01_w1,achiev_01_w1,achiev_02_w1,achiev_03_w1,achiev_04_w1,achiev_05_w1,achiev_06_w1,achiev_07_w1,edu_plan_01_w1,consider_job_a01_w1,fa_support_01_w1,fa_support_02_w1,fa_support_03_w1,fa_support_04_w1,fa_support_05_w1,fa_support_06_w1,fa_support_07_w1,pr_father_01_w1,pr_mother_01_w1,diff_father_01_w1,diff_mother_01_w1,parenting_a01_w1,parenting_a02_w1,parenting_a03_w1,parenting_b01_w1,parenting_b02_w1,parenting_b03_w1,parenting_b04_w1,parenting_b05_w1,n_friends_01_w1,fr_sup_01_w1,fr_sup_02_w1,fr_sup_03_w1,fr_sup_04_w1,fr_sup_05_w1,fr_sup_06_w1,fr_sup_07_w1,fr_rela_a01_w1,fr_rela_a02_w1,fr_rela_a03_w1,fr_rela_a04_w1,fr_rela_a05_w1,bullying_01_w1,bullying_02_w1,bullying_03_w1,bullying_04_w1,bullying_05_w1,bullying_06_w1,diff_school_a01_w1,diff_school_a02_w1,diff_school_a03_w1,diff_study_01_w1,learning_a01_w1,learning_a02_w1,learning_a03_w1,learning_a04_w1,learning_a05_w1,te_sup_01_w1,te_sup_02_w1,te_sup_03_w1,te_sup_04_w1,te_sup_05_w1,te_sup_06_w1,te_rela_a01_w1,te_rela_a02_w1,te_rela_a03_w1,te_rela_a04_w1,te_rela_a05_w1,help_in_sc_01_w1,help_in_sc_02_1_w1,help_in_sc_02_2_w1,help_community_01_w1,help_community_02_1_w1,help_community_02_2_w1,community_01_w1,community_02_w1,community_03_w1,community_04_w1,community_05_w1,community_06_w1
0178,100769,1,1,2,10,2,43, ,3, ,12, ,5, ,1,4,150,2,2,2, , , , ,4,3,3,3,1,1,3,3,3,3,2, , , , , , , ,1,1,1,1,3,1,2,3,2,3,1,1,1,1,1,1,1,1,1,3,1,2,2,1,4,3,3,3,3,3,3,2,3,3,2,2,1,4,2,4,1,2,4,1,2,4,1,4,4,1,3,2,2,2,4,3,3,3,2,4,3,4,4,5,2,3,2,3,4,4,3,3,4,4,3,4,4,3,3,3,3,3,3,2,5,5, ,10,4,4,4,2,2,1,2,1,10,4,5,5,5,4,5,5,3,3,3,2,3,1,2,1,1,1,1,2, , ,7,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,2,2, , ,1,2, ,3,3,2,3,4,2
0179,100774,1,1,2,10,2,34,52,1,2,6,8,7,1,1,3,400,1,4,2, , , , ,3,2,2,3,1,1,3,3,3,3,2, , , , , , , ,4,2,2,3,1,1,2,6,1,4,1,1,1,1,1,1,1,1,1,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,2,3,3,2,2,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,2,3,2,3,3,3,3,3,3,3,4,1,3,3,3,3,4,3,3,3,3, ,10,3,3,3,2,2,1,1,1,7,4,4,4,4,4,4,4,3,3,3,1,3,1,1,1,1,1,1,11, , ,7,3,3,3,3,1,3,4,3,4,4,4,3,3,3,3,3,2, , ,2, , ,3,3,1,3,3,3
0180,100777,1,1,1,10,2,47,53,2,1,9,11,5,1,1,3,100,2,1,2, , , , ,3,2,3,3,1,1,4,2,2,4,1,1, , , , , , ,2,2,2,3,1,2, , ,1,5,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,4,4,4,2,4,1,1,4,2,2,2,2,3,2,2,3,3,1,3,3,3,2,3,4,3,2,2,2,2,2,3,3,4,4,4,4,2,2,2,2,3,3,3,3,3,3,3,2,2,4,1,4,3,3,3,3,3,3,3,4, ,10,4,3,3,2,3,1,3,1,31,4,4,4,4,4,4,4,3,3,3,2,3,1,1,1,1,1,1,11, , ,7,3,3,3,3,2,4,3,3,3,3,3,4,3,3,3,3,2, , ,2, , ,2,4,1,3,3,2
0181,100779,1,1,2,10,2,37, ,2, ,11, ,8, ,3,3,50,2,1,2, , , , ,3,4,4,4,1,1,4,4,4,4,2, , , , , , , ,1,1,1,1,5,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,3,2,3,4,4,2,1,4,4,1,4,1,3,4,1,3,3,4,4,4,1,4,4,3,3,3,3,4,3,4,4,3,2,3,4,4,4,3,3,3,3,4,4,2,2,2,3,2,3,4,4,3,3,3,4,3,4,3,4,4,4,4,4,4,3,1, ,8,4,4,4,4,1,3,3,1,36,5,5,4,4,3,3,4,2,2,2,1,3,1,1,1,1,1,1,11, , ,7,2,4,3,4,2,5,5,5,4,5,5,4,2,3,4,3,2, , ,2, , ,3,3,2,4,4,4
0182,100784,1,1,1,10,2,47,51,2,1,11,8,6,1,1,6,200,1,2,2, , , , ,3,2,2,3,1,1,4,4,4,4,2, , , , , , , ,3,3,3,3,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,3,3,4,2,4,1,3,4,4,1,4,1,1,4,1,2,2,2,3,3,1,4,4,2,4,4,3,2,2,2,3,2,2,3,2,2,2,2,3,3,3,3,5,5,5,4,4,2,4,3,4,3,3,4,3,3,2,3,3,3,3,3,3,2,4,4, ,10,4,4,4,4,4,2,2,2,13,4,4,4,4,4,4,4,4,3,4,2,3,1,1,1,1,1,1,11, , ,7,1,3,3,3,2,4,4,3,3,3,3,3,4,4,4,3,2, , ,2, , ,4,4,2,2,3,4
0183,100789,1,1,1,10,2,30,41,2,4,12,12,5,1,1,3,400,1,4,2, , , , ,2,2,2,1,1,1,3,4,3,3,1,1, , , , , , ,4,4,4,4,1,1,2,1,2,3,2,1,1,1,1,1,1,1,1,4,4,3,3,4,3,2,4,4,3,2,2,3,1,4,1,3,3,1,3,3,2,4,4,2,4,3,4,4,3,3,4,4,3,3,2,3,3,1,4,4,4,4,3,4,4,5,4,2,3,4,3,3,3,4,4,4,3,4,3,3,3,3,4,4,5,5, ,10,1,2,3,1,3,2,1,1,38,5,5,4,4,4,5,5,4,1,4,1,2,1,1,1,1,1,1,11, , ,4,3,3,2,3,2,5,5,4,3,3,4,4,4,3,3,4,2, , ,2, , ,4,4,3,3,4,3
0184,100793,1,1,1,10,2,49,53,3,1,11,12,6,1,1,4,200,1,2,2, , , , ,3,3,3,3,1,1,2,2,2,2,2, , , , , , , ,2,2,2,2,1,2, , ,2,3,1,1,1,2,2,1,1,1,1,1,2,3,3,1,3,3,3,3,3,1,1,1,1,1,2,3,3,1,3,3,1,3,3,2,3,3,4,3,3,3,3,1,3,3,3,3,2,4,3,3,3,3,2,1,3,2,2,3,3,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,3,4, ,10,3,3,2,1,1,1,4,1,3,3,3,3,3,3,3,3,3,4,4,1,3,1,1,1,1,1,1,11, , ,2,3,3,2,3,1,3,5,3,4,3,3,3,3,3,3,4,2, , ,2, , ,2,3,1,3,3,3
0185,100796,1,1,1,10,2,40,47,1,1,11,8,8,3,1,4,95,2,1,3,4,4,4,4,4,4,4,4,1,1,4,2,4,4,2, , , ,4,4,4,4,4,4,4,4,1,1,1,0,1,3,1,1,1,1,1,1,1,1,1,4,1,1,3,1,2,2,1,4,4,1,4,1,1,4,2,1,3,1,3,3,1,2,3,1,3,3,3,2,3,2,2,3,2,2,2,2,2,4,4,3,3,3,4,3,4,3,5,2,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,3,4,4,6,10,4,4,2,1,1,1,1,1,1,3,3,4,4,3,4,3,3,2,3,1,2,1,1,1,1,1,1,5, , ,7,3,3,3,2,1,5,4,4,4,4,3,4,2,3,3,3,2, , ,2, , ,3,2,2,3,3,3
0186,100800,1,1,2,10,2,36,46,3,1,11,9,6,1,1,5,100,1,1,2, , , , ,3,3,3,3,3,1,3,3,3,3,1,5, , , , , , ,3,3,3,3,3,1,2,2,1,4,1,1,2,1,1,1,1,1,1,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,1,2,2,1,2,4,1,4,3,3,3,4,4,4,4,3,4,2,3,3,3,3,3,4,4,4,3,3,4,3,2,2,3,2,3,4,3,3,3,4,3,4,5,4,4,4,4,4,4,4,5,5, ,10,4,4,3,2,2,1,2,1,15,5,5,5,5,5,5,5,4,3,4,1,3,2,1,1,1,1,1,6, , ,5,3,2,3,3,2,5,5,5,5,5,4,4,4,4,4,4,2, , ,1,7, ,3,3,3,2,3,2
0187,100805,1,1,2,9,2,41, ,3, ,12, ,5, ,2,3,70,2,2,2, , , , ,3,2,2,3,1,6,4,4,4,4,2, , , , , , , ,1,1,1,1,1,1,2,1,1,3,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,2,2,3,3,2,3,2,2,3,2,2,2,2,3,3,2,2,3,2,3,3,2,2,2,3,2,2,3,2,3,2,2,2,3,3,2,2,4,4,2,2,3,3,2,3,2,2,3,3,2,4,1,2,2,2,3,3,2,3,3,3, ,2,2,2,2,3,2,3,3,2,2,3,3,4,4,3,3,3,3,3,2,2,2,1,2,2,1,1,1,11, , ,7,3,2,3,3,2,3,3,3,3,3,3,2,2,3,3,3,2, , ,2, , ,2,2,2,3,2,3
